,user,text,favorite_count,retweet_count,created_at
45,AzriWalter,@khairulayams InsyaAllah nanti kita bidas,16,0,2023-04-05 09:34:41+00:00
46,AzriWalter,@mdafizie Estaplanta! Ha ha ha,15,1,2023-04-05 09:34:12+00:00
47,AzriWalter,@mdafizie @okmuazh baru belajar namun!,3,1,2023-04-05 09:31:57+00:00
48,AzriWalter,@okmuazh Ha ha ha watch me!,0,1,2023-04-05 09:30:37+00:00
49,AzriWalter,"Gagal adalah proses untuk Berjaya

1. Saya pernah buka 30 cawangan kedai gunting rambut. 11 cawangan terpaksa ditutup.

2. Saya pernah jual produk. Syampu, minyak jambang, 5 jenis minyak rambut. Semua hampas. Gagal. 2 jenis minyak rambut sahaja yang laku.

3. Saya pernah jual… https://t.co/2sPDGf2umq https://t.co/IUf7UQKUbn",5409,2180,2023-04-05 09:23:58+00:00
50,AzriWalter,"Saya tidak pernah berputus asa kerana saya sentiasa tanam harapan di dalam MINDA saya. Harapan membuatkan kita akan terus maju ke hadapan. 

Dont lose hope, good time will come!
Henyak sampai lunyai! 

.",25,3,2023-04-05 02:44:07+00:00
51,AzriWalter,"4. Sementara hidup di dunia ini, selagi nyawa dikandung badan, saya akan terus usaha sehabis baik untuk berjaya di setiap penjuru hidup. Andaikata dunia ini tidak berpihak kepada saya, saya tidak sesekali akan kecewa kerana di akhirat nanti ada syurga yang kekal abadi.",22,6,2023-04-05 02:44:06+00:00
52,AzriWalter,10 tahun tak menjadi apalah sangat nak dibandingkan dengan berpuluh tahun lagi kejayaan yang bakal saya kecapi.,6,4,2023-04-05 02:44:05+00:00
53,AzriWalter,"3. Jika saya buat sesuatu tak menjadi walaupun ambil masa 10 tahun, saya tetap akan buat lagi sampai jadi kerana saya tahu, jika dipanjangkan usia saya ada berpuluh tahun lagi yang saya bakal berjaya.",10,3,2023-04-05 02:44:04+00:00
54,AzriWalter,"2. Jika ada 10,000 orang tak suka dengan pemikiran saya, saya ada baki lagi berbilion manusia yang mungkin akan suka dengan pemikiran saya. Saya tetap akan menjadi saya.",9,3,2023-04-05 02:44:03+00:00
55,AzriWalter,"Bagaimana Azri Walter kekal positif :

1. Jika 10,000 orang manusia reject saya, saya akan terus capai seramai orang lagi. Kerana saya tahu rakyat Malaysia ada 30juta orang dan manusia di dunia ada berbilion jumlahnya. Setakat 10,000 reject, tiada kesan untuk saya. https://t.co/MT42DA5Mks",208,60,2023-04-05 02:44:02+00:00
56,AzriWalter,@drl_amn 😅,0,0,2023-04-05 00:51:16+00:00
57,AzriWalter,@kidxblunt 😆,0,0,2023-04-05 00:51:06+00:00
58,AzriWalter,"Ketika saya Live Danish (gambar Doraemon) komen ""kau selalu paksa kitorang henyak lunyai"" https://t.co/jipStrAf1v",48,9,2023-04-05 00:50:48+00:00
59,AzriWalter,"Waktu pagi, menentukan keseluruhan hari kita. 

Ada banyak ketika saya senyum kepada orang dalam lif, namun wajah nya sugul.

Dia tekan tombol nombor sambil bibirnya muncung 😖

Ayuh mulakan hari dengan positif, Senyum dan Excited untuk bertemu dengan hari baru. https://t.co/pCpTa4LboM",42,4,2023-04-04 23:18:32+00:00
60,AzriWalter,@okmuazh Alamak macam mana nak reply ni betul ke cara ni ha ha ha,7,0,2023-04-04 22:57:30+00:00
61,AzriWalter,"Kau mesti latih minda untuk jadi STRONG!
Kau mesti ada kemampuan untuk mempersetankan kata-kata negatif di sepanjang perjalanan menuju jaya!

Fokus! Bangkit! 
Biarkan mereka terus ketawa ketika kita sibuk ""mengira-ngira"".

Henyak Sampai Lunyai!
.",28,10,2023-04-04 22:20:47+00:00
62,AzriWalter,Kau yang paling tahu kemampuan diri kau. Tiada siapa lebih handal menguruskan diri kau melainkan kau sendiri.,20,0,2023-04-04 22:20:46+00:00
63,AzriWalter,Serapat mana pun seseorang dengan diri kau akhirnya tiada siapa yang kenal diri kau melainkan kau sendiri.,25,6,2023-04-04 22:20:46+00:00
64,AzriWalter,"Bukan sahaja kawan, boleh jadi ianya dari keluarga.

Aku berpesan pada semua yang mahu berjaya, satu pesanan yang jarang didengari di mana-mana panitia dan silibus yang ada iaitu :",12,0,2023-04-04 22:20:45+00:00
65,AzriWalter,"Jalan menuju kejayaan penuh dengan kesakitan. Kau akan lalui 1001 penolakan. Sebab itu, hanya segelintir yang berani dan berjaya melaluinya.

Kau akan di perkecil, kau akan diketawa, kau akan ditolak oleh mereka. Emosi kau akan berkecamuk antara suka dan duka. https://t.co/ZiNPweAP0f",357,106,2023-04-04 22:20:44+00:00
66,AzriWalter,Tanggungjawab kita dengan masa. https://t.co/GTZj4Nfx19,49,21,2023-01-15 04:29:07+00:00
67,AzriWalter,WE ARE WHAT WE EAT. https://t.co/uVtCyasiHf,15,3,2023-01-12 05:06:32+00:00
68,AzriWalter,Ada ke sama macam saya? https://t.co/msLyD8d0bW,15,2,2023-01-07 09:16:47+00:00
69,AzriWalter,"GOOD MORNING, CHAMPION. https://t.co/8KkjCmMd89",28,5,2023-01-05 00:13:20+00:00
70,AzriWalter,"BUAT MENYESAL, TAK BUAT MENYESAL. https://t.co/fTd06xJmQQ",4,1,2023-01-04 14:05:01+00:00
71,AzriWalter,Mulakan dengan apa yang kita ada iaitu KEDERAT. https://t.co/WXe6P9aAuW,11,1,2023-01-03 12:22:39+00:00
72,AzriWalter,work ethic 100% https://t.co/smykUJaW3Y,17,10,2023-01-01 05:11:27+00:00
73,AzriWalter,"To all champion, this message is for you. #henyaksampailunyai https://t.co/edMw9llzb1",8,3,2022-11-03 08:56:57+00:00
74,AzriWalter,Sky is no Limit… https://t.co/9HjyiA7vgk via @YouTube,1,0,2022-11-03 08:35:57+00:00
75,AzriWalter,People buy product of trust. Trust is built from brand. https://t.co/n1oPikzzKw,3,0,2022-11-02 09:27:57+00:00
76,AzriWalter,"Keep going, keep moving and don’t give up. https://t.co/pDHwlkZFRh",4,1,2022-11-01 15:13:43+00:00
77,AzriWalter,Adapting with new technology. https://t.co/zrpNZUAPlW,3,2,2022-10-31 06:04:07+00:00
78,AzriWalter,Attitude always no. 1 #henyaksampailunyai https://t.co/u3ZlePuZSK,2,3,2022-10-28 06:07:55+00:00
79,AzriWalter,#henyaksampailunyai https://t.co/B4pKUfkt0p,1,0,2022-10-25 14:49:46+00:00
80,AzriWalter,Either do or die. https://t.co/zSTgypi5dJ,1,0,2022-10-25 14:47:49+00:00
81,AzriWalter,#henyaksampailunyai https://t.co/rxGjUdlO5Y,5,3,2022-10-24 05:32:17+00:00
82,AzriWalter,Execute Fast but Patiently Wait for The Result. https://t.co/ABFAcwAHCk,7,1,2022-09-21 02:01:32+00:00
83,AzriWalter,Rezeki paling besar… https://t.co/vamYxZt5SR,2,0,2022-09-04 04:57:02+00:00
84,AzriWalter,You’re the one WHO CONTROL your mind. https://t.co/2BKcpNDxOW,4,2,2022-09-03 02:17:12+00:00
85,AzriWalter,Protect Our Mental Health at All Cost. https://t.co/rO2D8X2ADJ,7,2,2022-09-02 04:17:46+00:00
86,AzriWalter,Ramai yang ADA impian tetapi tak ramai yang KEJAR impian… https://t.co/T1iaBAVtxy,4,2,2022-08-29 04:28:03+00:00
87,AzriWalter,Betul ke? https://t.co/NysrVKPApe,2,0,2022-08-26 08:56:34+00:00
88,AzriWalter,Spending vs Saving… https://t.co/PIqT7O4bif,4,2,2022-08-23 05:04:26+00:00
89,AzriWalter,Panggilan setiap hari… https://t.co/XRQwymFbAz,1,0,2022-08-15 00:02:31+00:00
90,AzriWalter,90% Peniaga tak Tahu Maksud Sebenar BISNES. https://t.co/FdlgiSxbNB,3,2,2022-08-14 12:07:36+00:00
91,AzriWalter,The Biggest Championship is YOU against YOU. https://t.co/S0AhuwQuBh,6,2,2022-08-13 10:26:42+00:00
92,AzriWalter,Focus on the PROCESS not the RESULT… https://t.co/ELTmxydjhd,6,1,2022-08-09 01:06:29+00:00
93,AzriWalter,Career Path Seorang Rider.. https://t.co/N3X47S9JBQ,2,0,2022-08-07 05:03:48+00:00
94,AzriWalter,Why am i doing this? https://t.co/pNgUH2FJ99,2,0,2022-08-05 09:14:15+00:00
95,AzriWalter,KONSISTENSI ITU ADALAH 🔑 https://t.co/zhy00oX5JL,4,1,2022-08-04 06:25:40+00:00
96,AzriWalter,Fokus kepada Improvement Diri walaupun kecil… https://t.co/LK58OrcNnl,6,2,2022-07-29 10:04:12+00:00
97,AzriWalter,How to Eliminate the Stress.. https://t.co/86geJcuW8i,3,1,2022-07-27 11:03:20+00:00
98,AzriWalter,Branding = trust https://t.co/mUiQO2Sp5m,3,2,2022-07-25 04:35:36+00:00
99,AzriWalter,Champion Attitude… https://t.co/2EdC773bwi,3,2,2022-07-20 05:11:23+00:00
100,AzriWalter,Apa yang membezakan orang yang berjaya dengan orang yang gagal… https://t.co/NeuJOvDo4N,4,2,2022-07-15 11:54:38+00:00
101,AzriWalter,Keep going and never stop. https://t.co/JDLSCuEV6H,1,0,2022-07-13 10:43:43+00:00
102,AzriWalter,Perancangan Strategi… https://t.co/ZDmXjuHFiH,3,2,2022-07-12 10:36:16+00:00
103,AzriWalter,Ups and downs in life… https://t.co/CmKd9HCsDI,4,1,2022-07-11 12:38:58+00:00
104,AzriWalter,Bersyukur… https://t.co/77lz342AIp,4,1,2022-07-09 06:03:13+00:00
105,AzriWalter,https://t.co/d0gKTg7KHD,1,1,2022-07-06 06:26:26+00:00
106,AzriWalter,Kepada Anak Jantan: Be responsible. https://t.co/l46uVOiqri,2,1,2022-07-05 00:17:52+00:00
107,AzriWalter,It’s Either the Best or Nothing At All.,2,1,2022-07-03 01:13:13+00:00
108,AzriWalter,"Nak cepat, nak mudah… https://t.co/Y8UIyu30NQ",2,2,2022-07-02 06:09:34+00:00
109,AzriWalter,Hanya untuk CHAMPION… https://t.co/itoPuse4HU,2,1,2022-07-01 13:20:15+00:00
110,AzriWalter,Adakah… https://t.co/XKjDPYrcS5,5,3,2022-07-01 02:19:42+00:00
111,AzriWalter,Recheck: apa kerja yang kita lakukan dalam masa 24jam? https://t.co/5lPUfBTrTZ,3,2,2022-06-29 03:51:10+00:00
112,AzriWalter,"Jangan ambil ala carte je, mesti ambil complete set. https://t.co/c9Pljt6Gdv",5,3,2022-05-15 04:20:57+00:00
113,AzriWalter,Fokus kepada GOAL https://t.co/viW87JSQVq,4,1,2022-05-12 06:20:18+00:00
114,AzriWalter,Social status https://t.co/I2WJ1Eqlc9,4,3,2022-05-11 00:09:38+00:00
115,AzriWalter,Tips untuk Konsisten https://t.co/CHbERIfIhx,4,1,2022-04-30 09:34:48+00:00
116,AzriWalter,"Whatever we do, always be a good one. https://t.co/OlqGRxeN4h",5,1,2022-04-25 11:34:01+00:00
117,AzriWalter,"Henyak, Syukur dan Sabar…3 Ramuan Kejayaan https://t.co/978G5n3UYx via @YouTube https://t.co/iUBrdOh8dI",1,1,2022-04-24 23:17:51+00:00
118,AzriWalter,"Unpopular Opinion: Gagal itu pasti, Berjaya itu belum tentu. https://t.co/6GtirjwA5n",1,0,2022-04-21 02:21:56+00:00
119,AzriWalter,Grow your business https://t.co/sNuN3HpGer,2,0,2022-04-10 11:51:24+00:00
120,AzriWalter,We choose our own life! https://t.co/y0y39RvgLv,2,2,2022-04-10 03:42:57+00:00
121,AzriWalter,Henyak! https://t.co/J5KFVVZFlu,0,0,2022-04-09 03:28:01+00:00
122,AzriWalter,Champion 👑 https://t.co/DhvFStfrtx,4,1,2022-04-07 14:13:34+00:00
123,AzriWalter,Attacking strategy https://t.co/xQctmX3apI,4,1,2022-04-06 13:49:43+00:00
124,AzriWalter,Otak Pansyen https://t.co/hrwYR92RmB,4,1,2022-04-05 13:32:31+00:00
125,AzriWalter,Keep hustling! https://t.co/tqyvOotFdX,4,3,2022-04-04 09:07:32+00:00
126,AzriWalter,MELAWAN! https://t.co/hOUWSKdpPz,3,1,2022-04-01 01:59:39+00:00
127,AzriWalter,Hari ni belum habis guys. Henyak! https://t.co/LYqbU9IjTp,1,1,2022-03-31 09:23:47+00:00
128,AzriWalter,https://t.co/LLtZf5T864,1,0,2022-03-30 08:22:38+00:00
